Date,Elevation_ft
1/1/2000,1214.26
2/1/2000,1213.79
3/1/2000,1211.33
4/1/2000,1208.78
5/1/2000,1207.67
6/1/2000,1204.09
7/1/2000,1199.97
8/1/2000,1196.66
9/1/2000,1196.72
10/1/2000,1196.66
11/1/2000,1196.45
12/1/2000,1196.12
1/1/2001,1197.27
2/1/2001,1196.62
3/1/2001,1194.68
4/1/2001,1190.76
5/1/2001,1187.32
6/1/2001,1183.12
7/1/2001,1180.78
8/1/2001,1179.97
9/1/2001,1177.96
10/1/2001,1178.03
11/1/2001,1177.22
12/1/2001,1177.37
1/1/2002,1177.94
2/1/2002,1176.5
3/1/2002,1172.06
4/1/2002,1167.49
5/1/2002,1162.39
6/1/2002,1160.19
7/1/2002,1157.57
8/1/2002,1156.42
9/1/2002,1155.42
10/1/2002,1154.89
11/1/2002,1153.3
12/1/2002,1152.13
1/1/2003,1153.33
2/1/2003,1154.42
3/1/2003,1153.09
4/1/2003,1148.27
5/1/2003,1144.68
6/1/2003,1143.19
7/1/2003,1141.93
8/1/2003,1143.27
9/1/2003,1142.12
10/1/2003,1141.17
11/1/2003,1139.48
12/1/2003,1139.12
1/1/2004,1140.39
2/1/2004,1140.11
3/1/2004,1138.7
4/1/2004,1134.98
5/1/2004,1129.7
6/1/2004,1126.93
7/1/2004,1125.73
8/1/2004,1126.67
9/1/2004,1125.86
10/1/2004,1127.43
11/1/2004,1130.13
12/1/2004,1130.01
1/1/2005,1137.4
2/1/2005,1143.25
3/1/2005,1147.66
4/1/2005,1144.45
5/1/2005,1141.89
6/1/2005,1140.46
7/1/2005,1139.01
8/1/2005,1139.61
9/1/2005,1138.36
10/1/2005,1137.01
11/1/2005,1135.27
12/1/2005,1137.52
1/1/2006,1139.46
2/1/2006,1141.2
3/1/2006,1139.48
4/1/2006,1135.94
5/1/2006,1131.14
6/1/2006,1128.26
7/1/2006,1126.42
8/1/2006,1126.54
9/1/2006,1125.36
10/1/2006,1126.13
11/1/2006,1126.63
12/1/2006,1128.12
1/1/2007,1129.55
2/1/2007,1129.35
3/1/2007,1125.79
4/1/2007,1120.69
5/1/2007,1115.89
6/1/2007,1113.5
7/1/2007,1111.58
8/1/2007,1111.84
9/1/2007,1111.06
10/1/2007,1110.95
11/1/2007,1111.22
12/1/2007,1114.81
1/1/2008,1116.46
2/1/2008,1116.93
3/1/2008,1115.65
4/1/2008,1110.61
5/1/2008,1107.05
6/1/2008,1104.98
7/1/2008,1104.42
8/1/2008,1105.13
9/1/2008,1105.76
10/1/2008,1107.94
11/1/2008,1107.33
12/1/2008,1110.97
1/1/2009,1111.78
2/1/2009,1111.43
3/1/2009,1107.4
4/1/2009,1101.26
5/1/2009,1096.92
6/1/2009,1095.26
7/1/2009,1094.2
8/1/2009,1093.73
9/1/2009,1093.68
10/1/2009,1093.26
11/1/2009,1093.52
12/1/2009,1096.3
1/1/2010,1100.02
2/1/2010,1103.21
3/1/2010,1100.66
4/1/2010,1098
5/1/2010,1094.3
6/1/2010,1089.3
7/1/2010,1086.97
8/1/2010,1086.91
9/1/2010,1083.81
10/1/2010,1082.36
11/1/2010,1081.94
12/1/2010,1086.3
1/1/2011,1091.73
2/1/2011,1095.78
3/1/2011,1096.39
4/1/2011,1095.76
5/1/2011,1097.9
6/1/2011,1102.38
7/1/2011,1107.07
8/1/2011,1113.45
9/1/2011,1116.04
10/1/2011,1121
11/1/2011,1125.82
12/1/2011,1132.83
1/1/2012,1134.18
2/1/2012,1133.06
3/1/2012,1129.41
4/1/2012,1123.93
5/1/2012,1119.38
6/1/2012,1115.84
7/1/2012,1115.92
8/1/2012,1116.56
9/1/2012,1115.16
10/1/2012,1116.5
11/1/2012,1117.24
12/1/2012,1120.36
1/1/2013,1122.32
2/1/2013,1122.14
3/1/2013,1118.59
4/1/2013,1112.91
5/1/2013,1108.36
6/1/2013,1105.98
7/1/2013,1105.92
8/1/2013,1106.13
9/1/2013,1106.92
10/1/2013,1104.04
11/1/2013,1106.36
12/1/2013,1106.73
1/1/2014,1108.75
2/1/2014,1107.94
3/1/2014,1101.71
4/1/2014,1094.55
5/1/2014,1087.46
6/1/2014,1082.66
7/1/2014,1080.6
8/1/2014,1081.55
9/1/2014,1081.33
10/1/2014,1082.79
11/1/2014,1083.57
12/1/2014,1087.79
1/1/2015,1088.51
2/1/2015,1088.98
3/1/2015,1084.87
4/1/2015,1079.03
5/1/2015,1076.57
6/1/2015,1075.08
7/1/2015,1078.15
8/1/2015,1078.31
9/1/2015,1078.1
10/1/2015,1078.99
11/1/2015,1078.23
12/1/2015,1080.91
1/1/2016,1083.68
2/1/2016,1084.17
3/1/2016,1080.45
4/1/2016,1076.13
5/1/2016,1073.8
6/1/2016,1071.64
7/1/2016,1072.75
8/1/2016,1075.17
9/1/2016,1075.23
10/1/2016,1076.34
11/1/2016,1076.55
12/1/2016,1080.82
1/1/2017,1086.08
2/1/2017,1089.78
3/1/2017,1088.26
4/1/2017,1084.89
5/1/2017,1081.56
6/1/2017,1079.52
7/1/2017,1079.03
8/1/2017,1081.44
9/1/2017,1082.05
10/1/2017,1082.3
11/1/2017,1080.95
12/1/2017,1082.52
1/1/2018,1087.5
2/1/2018,1088.21
3/1/2018,1088.11
4/1/2018,1084.49
5/1/2018,1080
6/1/2018,1076.81
7/1/2018,1077.43
8/1/2018,1078.88
9/1/2018,1078.29
10/1/2018,1078.52
11/1/2018,1078.32
12/1/2018,1081.46
1/1/2019,1085.75
2/1/2019,1087.97
3/1/2019,1090.24
4/1/2019,1088.95
5/1/2019,1086.48
6/1/2019,1084.71
7/1/2019,1082.82
8/1/2019,1083.45
9/1/2019,1083
10/1/2019,1082.61
11/1/2019,1083.85
12/1/2019,1090.49
1/1/2020,1094.68
2/1/2020,1096.27
3/1/2020,1098.59
4/1/2020,1096.39
5/1/2020,1091.32
6/1/2020,1087.07
7/1/2020,1084.63
8/1/2020,1084.04
9/1/2020,1083.21
10/1/2020,1081.88
11/1/2020,1081.07
12/1/2020,1083.72
1/1/2021,1085.95
2/1/2021,1087.26
3/1/2021,1084.39
4/1/2021,1079.3
5/1/2021,1073.5
6/1/2021,1068.77
7/1/2021,1067.65
8/1/2021,1067.96
9/1/2021,1067.68
10/1/2021,1066.77
11/1/2021,1064.97
12/1/2021,1066.39
1/1/2022,1067.09
2/1/2022,1066.78
3/1/2022,1061.49
4/1/2022,1054.69
5/1/2022,1047.69
6/1/2022,1043.02
7/1/2022,1040.92
8/1/2022,1044.28
9/1/2022,1045.03
10/1/2022,1046.28
11/1/2022,1043.02
12/1/2022,1044.82
1/1/2023,1046.97
2/1/2023,1047.02
3/1/2023,1046.03
4/1/2023,1049.69
5/1/2023,1054.28
6/1/2023,1056.39
7/1/2023,1061.02
8/1/2023,1065.35
9/1/2023,1065.82
10/1/2023,1065.34
11/1/2023,1064.81
12/1/2023,1068.18
1/1/2024,1072.67
2/1/2024,1076.52
3/1/2024,1075.35
4/1/2024,1072.24
5/1/2024,1067.08
6/1/2024,1062.5
7/1/2024,1061.49
8/1/2024,1063.16
9/1/2024,1063.71
10/1/2024,1061.22
11/1/2024,1060.89
12/1/2024,1063.29
